cluster number,cluster name,FIPS
4,"Mostly Rural, Mid Socioeconomic Status",05015
2,"Semi-Urban, Mid/Low Socioeconomic Status",05017
2,"Semi-Urban, Mid/Low Socioeconomic Status",05019
4,"Mostly Rural, Mid Socioeconomic Status",05021
4,"Mostly Rural, Mid Socioeconomic Status",05023
4,"Mostly Rural, Mid Socioeconomic Status",05025
2,"Semi-Urban, Mid/Low Socioeconomic Status",05027
4,"Mostly Rural, Mid Socioeconomic Status",05029
1,"Semi-Urban, High Socioeconomic Status",05031
4,"Mostly Rural, Mid Socioeconomic Status",05033
2,"Semi-Urban, Mid/Low Socioeconomic Status",05035
4,"Mostly Rural, Mid Socioeconomic Status",05037
2,"Semi-Urban, Mid/Low Socioeconomic Status",05039
2,"Semi-Urban, Mid/Low Socioeconomic Status",05041
2,"Semi-Urban, Mid/Low Socioeconomic Status",05043
1,"Semi-Urban, High Socioeconomic Status",05045
4,"Mostly Rural, Mid Socioeconomic Status",05047
8,"Rural, High Socioeconomic Status",05049
4,"Mostly Rural, Mid Socioeconomic Status",05051
8,"Rural, High Socioeconomic Status",05053
4,"Mostly Rural, Mid Socioeconomic Status",05055
2,"Semi-Urban, Mid/Low Socioeconomic Status",05057
4,"Mostly Rural, Mid Socioeconomic Status",05059
4,"Mostly Rural, Mid Socioeconomic Status",05061
4,"Mostly Rural, Mid Socioeconomic Status",05063
4,"Mostly Rural, Mid Socioeconomic Status",05065
4,"Mostly Rural, Mid Socioeconomic Status",05067
2,"Semi-Urban, Mid/Low Socioeconomic Status",05069
4,"Mostly Rural, Mid Socioeconomic Status",05071
2,"Semi-Urban, Mid/Low Socioeconomic Status",05073
4,"Mostly Rural, Mid Socioeconomic Status",05075
5,"Rural, Mid/Low Socioeconomic Status",05077
5,"Rural, Mid/Low Socioeconomic Status",05079
4,"Mostly Rural, Mid Socioeconomic Status",05081
4,"Mostly Rural, Mid Socioeconomic Status",05083
1,"Semi-Urban, High Socioeconomic Status",05085
4,"Mostly Rural, Mid Socioeconomic Status",05087
4,"Mostly Rural, Mid Socioeconomic Status",05089
2,"Semi-Urban, Mid/Low Socioeconomic Status",05091
2,"Semi-Urban, Mid/Low Socioeconomic Status",05093
2,"Semi-Urban, Mid/Low Socioeconomic Status",05095
4,"Mostly Rural, Mid Socioeconomic Status",05097
2,"Semi-Urban, Mid/Low Socioeconomic Status",05099
4,"Mostly Rural, Mid Socioeconomic Status",05101
2,"Semi-Urban, Mid/Low Socioeconomic Status",05103
4,"Mostly Rural, Mid Socioeconomic Status",05105
2,"Semi-Urban, Mid/Low Socioeconomic Status",05107
4,"Mostly Rural, Mid Socioeconomic Status",05109
4,"Mostly Rural, Mid Socioeconomic Status",05111
4,"Mostly Rural, Mid Socioeconomic Status",05113
4,"Mostly Rural, Mid Socioeconomic Status",05115
4,"Mostly Rural, Mid Socioeconomic Status",05117
2,"Semi-Urban, Mid/Low Socioeconomic Status",05119
4,"Mostly Rural, Mid Socioeconomic Status",05121
2,"Semi-Urban, Mid/Low Socioeconomic Status",05123
1,"Semi-Urban, High Socioeconomic Status",05125
4,"Mostly Rural, Mid Socioeconomic Status",05127
4,"Mostly Rural, Mid Socioeconomic Status",05129
1,"Semi-Urban, High Socioeconomic Status",05131
3,"Semi-Urban, Hispanic",05133
4,"Mostly Rural, Mid Socioeconomic Status",05135
4,"Mostly Rural, Mid Socioeconomic Status",05137
2,"Semi-Urban, Mid/Low Socioeconomic Status",05139
4,"Mostly Rural, Mid Socioeconomic Status",05141
1,"Semi-Urban, High Socioeconomic Status",05143
4,"Mostly Rural, Mid Socioeconomic Status",05145
2,"Semi-Urban, Mid/Low Socioeconomic Status",05147
4,"Mostly Rural, Mid Socioeconomic Status",05149
6,"Young, Urban, Mid/High Socioeconomic Status",06001
4,"Mostly Rural, Mid Socioeconomic Status",06003
4,"Mostly Rural, Mid Socioeconomic Status",06005
1,"Semi-Urban, High Socioeconomic Status",06007
4,"Mostly Rural, Mid Socioeconomic Status",06009
3,"Semi-Urban, Hispanic",06011
6,"Young, Urban, Mid/High Socioeconomic Status",06013
5,"Rural, Mid/Low Socioeconomic Status",06015
1,"Semi-Urban, High Socioeconomic Status",06017
3,"Semi-Urban, Hispanic",06019
3,"Semi-Urban, Hispanic",06021
1,"Semi-Urban, High Socioeconomic Status",06023
3,"Semi-Urban, Hispanic",06025
4,"Mostly Rural, Mid Socioeconomic Status",06027
3,"Semi-Urban, Hispanic",06029
3,"Semi-Urban, Hispanic",06031
4,"Mostly Rural, Mid Socioeconomic Status",06033
5,"Rural, Mid/Low Socioeconomic Status",06035
6,"Young, Urban, Mid/High Socioeconomic Status",06037
3,"Semi-Urban, Hispanic",06039
1,"Semi-Urban, High Socioeconomic Status",06041
4,"Mostly Rural, Mid Socioeconomic Status",06043
4,"Mostly Rural, Mid Socioeconomic Status",06045
3,"Semi-Urban, Hispanic",06047
4,"Mostly Rural, Mid Socioeconomic Status",06049
3,"Semi-Urban, Hispanic",06051
3,"Semi-Urban, Hispanic",06053
3,"Semi-Urban, Hispanic",06055
8,"Rural, High Socioeconomic Status",06057
6,"Young, Urban, Mid/High Socioeconomic Status",06059
1,"Semi-Urban, High Socioeconomic Status",06061
4,"Mostly Rural, Mid Socioeconomic Status",06063
3,"Semi-Urban, Hispanic",06065
6,"Young, Urban, Mid/High Socioeconomic Status",06067
3,"Semi-Urban, Hispanic",06069
3,"Semi-Urban, Hispanic",06071
6,"Young, Urban, Mid/High Socioeconomic Status",06073
6,"Young, Urban, Mid/High Socioeconomic Status",06075
6,"Young, Urban, Mid/High Socioeconomic Status",06077
1,"Semi-Urban, High Socioeconomic Status",06079
6,"Young, Urban, Mid/High Socioeconomic Status",06081
3,"Semi-Urban, Hispanic",06083
6,"Young, Urban, Mid/High Socioeconomic Status",06085
1,"Semi-Urban, High Socioeconomic Status",06087
1,"Semi-Urban, High Socioeconomic Status",06089
4,"Mostly Rural, Mid Socioeconomic Status",06091
4,"Mostly Rural, Mid Socioeconomic Status",06093
6,"Young, Urban, Mid/High Socioeconomic Status",06095
1,"Semi-Urban, High Socioeconomic Status",06097
3,"Semi-Urban, Hispanic",06099
6,"Young, Urban, Mid/High Socioeconomic Status",06101
4,"Mostly Rural, Mid Socioeconomic Status",06103
4,"Mostly Rural, Mid Socioeconomic Status",06105
3,"Semi-Urban, Hispanic",06107
4,"Mostly Rural, Mid Socioeconomic Status",06109
3,"Semi-Urban, Hispanic",06111
6,"Young, Urban, Mid/High Socioeconomic Status",06113
3,"Semi-Urban, Hispanic",06115
3,"Semi-Urban, Hispanic",08001
3,"Semi-Urban, Hispanic",08003
1,"Semi-Urban, High Socioeconomic Status",08005
4,"Mostly Rural, Mid Socioeconomic Status",08007
8,"Rural, High Socioeconomic Status",08009
5,"Rural, Mid/Low Socioeconomic Status",08011
1,"Semi-Urban, High Socioeconomic Status",08013
1,"Semi-Urban, High Socioeconomic Status",08014
8,"Rural, High Socioeconomic Status",08015
8,"Rural, High Socioeconomic Status",08017
8,"Rural, High Socioeconomic Status",08019
3,"Semi-Urban, Hispanic",08021
3,"Semi-Urban, Hispanic",08023
5,"Rural, Mid/Low Socioeconomic Status",08025
8,"Rural, High Socioeconomic Status",08027
4,"Mostly Rural, Mid Socioeconomic Status",08029
1,"Semi-Urban, High Socioeconomic Status",08031
8,"Rural, High Socioeconomic Status",08033
1,"Semi-Urban, High Socioeconomic Status",08035
3,"Semi-Urban, Hispanic",08037
8,"Rural, High Socioeconomic Status",08039
1,"Semi-Urban, High Socioeconomic Status",08041
5,"Rural, Mid/Low Socioeconomic Status",08043
3,"Semi-Urban, Hispanic",08045
8,"Rural, High Socioeconomic Status",08047
8,"Rural, High Socioeconomic Status",08049
1,"Semi-Urban, High Socioeconomic Status",08051
8,"Rural, High Socioeconomic Status",08053
4,"Mostly Rural, Mid Socioeconomic Status",08055
8,"Rural, High Socioeconomic Status",08057
1,"Semi-Urban, High Socioeconomic Status",08059
8,"Rural, High Socioeconomic Status",08061
5,"Rural, Mid/Low Socioeconomic Status",08063
3,"Semi-Urban, Hispanic",08065
1,"Semi-Urban, High Socioeconomic Status",08067
1,"Semi-Urban, High Socioeconomic Status",08069
3,"Semi-Urban, Hispanic",08071
5,"Rural, Mid/Low Socioeconomic Status",08073
5,"Rural, Mid/Low Socioeconomic Status",08075
1,"Semi-Urban, High Socioeconomic Status",08077
8,"Rural, High Socioeconomic Status",08079
1,"Semi-Urban, High Socioeconomic Status",08081
4,"Mostly Rural, Mid Socioeconomic Status",08083
4,"Mostly Rural, Mid Socioeconomic Status",08085
3,"Semi-Urban, Hispanic",08087
3,"Semi-Urban, Hispanic",08089
8,"Rural, High Socioeconomic Status",08091
8,"Rural, High Socioeconomic Status",08093
4,"Mostly Rural, Mid Socioeconomic Status",08095
1,"Semi-Urban, High Socioeconomic Status",08097
3,"Semi-Urban, Hispanic",08099
3,"Semi-Urban, Hispanic",08101
8,"Rural, High Socioeconomic Status",08103
3,"Semi-Urban, Hispanic",08105
1,"Semi-Urban, High Socioeconomic Status",08107
3,"Semi-Urban, Hispanic",08109
5,"Rural, Mid/Low Socioeconomic Status",08111
8,"Rural, High Socioeconomic Status",08113
8,"Rural, High Socioeconomic Status",08115
1,"Semi-Urban, High Socioeconomic Status",08117
8,"Rural, High Socioeconomic Status",08119
8,"Rural, High Socioeconomic Status",08121
1,"Semi-Urban, High Socioeconomic Status",08123
1,"Semi-Urban, High Socioeconomic Status",08125
1,"Semi-Urban, High Socioeconomic Status",09001
1,"Semi-Urban, High Socioeconomic Status",09003
8,"Rural, High Socioeconomic Status",09005
1,"Semi-Urban, High Socioeconomic Status",09007
1,"Semi-Urban, High Socioeconomic Status",09009
1,"Semi-Urban, High Socioeconomic Status",09011
1,"Semi-Urban, High Socioeconomic Status",09013
1,"Semi-Urban, High Socioeconomic Status",09015
1,"Semi-Urban, High Socioeconomic Status",10001
1,"Semi-Urban, High Socioeconomic Status",10003
4,"Mostly Rural, Mid Socioeconomic Status",10005
2,"Semi-Urban, Mid/Low Socioeconomic Status",11001
1,"Semi-Urban, High Socioeconomic Status",12001
4,"Mostly Rural, Mid Socioeconomic Status",12003
1,"Semi-Urban, High Socioeconomic Status",12005
5,"Rural, Mid/Low Socioeconomic Status",12007
1,"Semi-Urban, High Socioeconomic Status",12009
3,"Semi-Urban, Hispanic",12011
5,"Rural, Mid/Low Socioeconomic Status",12013
4,"Mostly Rural, Mid Socioeconomic Status",12015
4,"Mostly Rural, Mid Socioeconomic Status",12017
1,"Semi-Urban, High Socioeconomic Status",12019
3,"Semi-Urban, Hispanic",12021
4,"Mostly Rural, Mid Socioeconomic Status",12023
5,"Rural, Mid/Low Socioeconomic Status",12027
4,"Mostly Rural, Mid Socioeconomic Status",12029
1,"Semi-Urban, High Socioeconomic Status",12031
1,"Semi-Urban, High Socioeconomic Status",12033
4,"Mostly Rural, Mid Socioeconomic Status",12035
5,"Rural, Mid/Low Socioeconomic Status",12037
2,"Semi-Urban, Mid/Low Socioeconomic Status",12039
4,"Mostly Rural, Mid Socioeconomic Status",12041
5,"Rural, Mid/Low Socioeconomic Status",12043
5,"Rural, Mid/Low Socioeconomic Status",12045
5,"Rural, Mid/Low Socioeconomic Status",12047
3,"Semi-Urban, Hispanic",12049
3,"Semi-Urban, Hispanic",12051
4,"Mostly Rural, Mid Socioeconomic Status",12053
4,"Mostly Rural, Mid Socioeconomic Status",12055
1,"Semi-Urban, High Socioeconomic Status",12057
4,"Mostly Rural, Mid Socioeconomic Status",12059
4,"Mostly Rural, Mid Socioeconomic Status",12061
5,"Rural, Mid/Low Socioeconomic Status",12063
2,"Semi-Urban, Mid/Low Socioeconomic Status",12065
5,"Rural, Mid/Low Socioeconomic Status",12067
4,"Mostly Rural, Mid Socioeconomic Status",12069
4,"Mostly Rural, Mid Socioeconomic Status",12071
1,"Semi-Urban, High Socioeconomic Status",12073
4,"Mostly Rural, Mid Socioeconomic Status",12075
5,"Rural, Mid/Low Socioeconomic Status",12077
2,"Semi-Urban, Mid/Low Socioeconomic Status",12079
4,"Mostly Rural, Mid Socioeconomic Status",12081
4,"Mostly Rural, Mid Socioeconomic Status",12083
4,"Mostly Rural, Mid Socioeconomic Status",12085
3,"Semi-Urban, Hispanic",12086
3,"Semi-Urban, Hispanic",12087
4,"Mostly Rural, Mid Socioeconomic Status",12089
1,"Semi-Urban, High Socioeconomic Status",12091
3,"Semi-Urban, Hispanic",12093
3,"Semi-Urban, Hispanic",12095
3,"Semi-Urban, Hispanic",12097
1,"Semi-Urban, High Socioeconomic Status",12099
1,"Semi-Urban, High Socioeconomic Status",12101
1,"Semi-Urban, High Socioeconomic Status",12103
3,"Semi-Urban, Hispanic",12105
4,"Mostly Rural, Mid Socioeconomic Status",12107
1,"Semi-Urban, High Socioeconomic Status",12109
2,"Semi-Urban, Mid/Low Socioeconomic Status",12111
1,"Semi-Urban, High Socioeconomic Status",12113
4,"Mostly Rural, Mid Socioeconomic Status",12115
1,"Semi-Urban, High Socioeconomic Status",12117
4,"Mostly Rural, Mid Socioeconomic Status",12119
4,"Mostly Rural, Mid Socioeconomic Status",12121
5,"Rural, Mid/Low Socioeconomic Status",12123
5,"Rural, Mid/Low Socioeconomic Status",12125
4,"Mostly Rural, Mid Socioeconomic Status",12127
5,"Rural, Mid/Low Socioeconomic Status",12129
4,"Mostly Rural, Mid Socioeconomic Status",12131
5,"Rural, Mid/Low Socioeconomic Status",12133
4,"Mostly Rural, Mid Socioeconomic Status",13001
3,"Semi-Urban, Hispanic",13003
4,"Mostly Rural, Mid Socioeconomic Status",13005
2,"Semi-Urban, Mid/Low Socioeconomic Status",13007
2,"Semi-Urban, Mid/Low Socioeconomic Status",13009
4,"Mostly Rural, Mid Socioeconomic Status",13011
1,"Semi-Urban, High Socioeconomic Status",13013
4,"Mostly Rural, Mid Socioeconomic Status",13015
2,"Semi-Urban, Mid/Low Socioeconomic Status",13017
4,"Mostly Rural, Mid Socioeconomic Status",13019
2,"Semi-Urban, Mid/Low Socioeconomic Status",13021
2,"Semi-Urban, Mid/Low Socioeconomic Status",13023
4,"Mostly Rural, Mid Socioeconomic Status",13025
2,"Semi-Urban, Mid/Low Socioeconomic Status",13027
1,"Semi-Urban, High Socioeconomic Status",13029
2,"Semi-Urban, Mid/Low Socioeconomic Status",13031
2,"Semi-Urban, Mid/Low Socioeconomic Status",13033
5,"Rural, Mid/Low Socioeconomic Status",13035
5,"Rural, Mid/Low Socioeconomic Status",13037
1,"Semi-Urban, High Socioeconomic Status",13039
2,"Semi-Urban, Mid/Low Socioeconomic Status",13043
2,"Semi-Urban, Mid/Low Socioeconomic Status",13045
1,"Semi-Urban, High Socioeconomic Status",13047
5,"Rural, Mid/Low Socioeconomic Status",13049
2,"Semi-Urban, Mid/Low Socioeconomic Status",13051
5,"Rural, Mid/Low Socioeconomic Status",13053
4,"Mostly Rural, Mid Socioeconomic Status",13055
1,"Semi-Urban, High Socioeconomic Status",13057
2,"Semi-Urban, Mid/Low Socioeconomic Status",13059
2,"Semi-Urban, Mid/Low Socioeconomic Status",13061
2,"Semi-Urban, Mid/Low Socioeconomic Status",13063
2,"Semi-Urban, Mid/Low Socioeconomic Status",13065
1,"Semi-Urban, High Socioeconomic Status",13067
2,"Semi-Urban, Mid/Low Socioeconomic Status",13069
2,"Semi-Urban, Mid/Low Socioeconomic Status",13071
1,"Semi-Urban, High Socioeconomic Status",13073
2,"Semi-Urban, Mid/Low Socioeconomic Status",13075
1,"Semi-Urban, High Socioeconomic Status",13077
4,"Mostly Rural, Mid Socioeconomic Status",13079
2,"Semi-Urban, Mid/Low Socioeconomic Status",13081
4,"Mostly Rural, Mid Socioeconomic Status",13083
4,"Mostly Rural, Mid Socioeconomic Status",13085
2,"Semi-Urban, Mid/Low Socioeconomic Status",13087
2,"Semi-Urban, Mid/Low Socioeconomic Status",13089
2,"Semi-Urban, Mid/Low Socioeconomic Status",13091
2,"Semi-Urban, Mid/Low Socioeconomic Status",13093
2,"Semi-Urban, Mid/Low Socioeconomic Status",13095
2,"Semi-Urban, Mid/Low Socioeconomic Status",13097
2,"Semi-Urban, Mid/Low Socioeconomic Status",13099
3,"Semi-Urban, Hispanic",13101
4,"Mostly Rural, Mid Socioeconomic Status",13103
2,"Semi-Urban, Mid/Low Socioeconomic Status",13105
2,"Semi-Urban, Mid/Low Socioeconomic Status",13107
2,"Semi-Urban, Mid/Low Socioeconomic Status",13109
4,"Mostly Rural, Mid Socioeconomic Status",13111
1,"Semi-Urban, High Socioeconomic Status",13113
4,"Mostly Rural, Mid Socioeconomic Status",13115
1,"Semi-Urban, High Socioeconomic Status",13117
4,"Mostly Rural, Mid Socioeconomic Status",13119
2,"Semi-Urban, Mid/Low Socioeconomic Status",13121
4,"Mostly Rural, Mid Socioeconomic Status",13123
4,"Mostly Rural, Mid Socioeconomic Status",13125
2,"Semi-Urban, Mid/Low Socioeconomic Status",13127
4,"Mostly Rural, Mid Socioeconomic Status",13129
2,"Semi-Urban, Mid/Low Socioeconomic Status",13131
2,"Semi-Urban, Mid/Low Socioeconomic Status",13133
6,"Young, Urban, Mid/High Socioeconomic Status",13135
4,"Mostly Rural, Mid Socioeconomic Status",13137
3,"Semi-Urban, Hispanic",13139
2,"Semi-Urban, Mid/Low Socioeconomic Status",13141
4,"Mostly Rural, Mid Socioeconomic Status",13143
8,"Rural, High Socioeconomic Status",13145
4,"Mostly Rural, Mid Socioeconomic Status",13147
4,"Mostly Rural, Mid Socioeconomic Status",13149
2,"Semi-Urban, Mid/Low Socioeconomic Status",13151
1,"Semi-Urban, High Socioeconomic Status",13153
2,"Semi-Urban, Mid/Low Socioeconomic Status",13155
4,"Mostly Rural, Mid Socioeconomic Status",13157
4,"Mostly Rural, Mid Socioeconomic Status",13159
4,"Mostly Rural, Mid Socioeconomic Status",13161
2,"Semi-Urban, Mid/Low Socioeconomic Status",13163
2,"Semi-Urban, Mid/Low Socioeconomic Status",13165
5,"Rural, Mid/Low Socioeconomic Status",13167
4,"Mostly Rural, Mid Socioeconomic Status",13169
2,"Semi-Urban, Mid/Low Socioeconomic Status",13171
2,"Semi-Urban, Mid/Low Socioeconomic Status",13173
2,"Semi-Urban, Mid/Low Socioeconomic Status",13175
1,"Semi-Urban, High Socioeconomic Status",13177
2,"Semi-Urban, Mid/Low Socioeconomic Status",13179
4,"Mostly Rural, Mid Socioeconomic Status",13181
2,"Semi-Urban, Mid/Low Socioeconomic Status",13183
2,"Semi-Urban, Mid/Low Socioeconomic Status",13185
4,"Mostly Rural, Mid Socioeconomic Status",13187
2,"Semi-Urban, Mid/Low Socioeconomic Status",13189
2,"Semi-Urban, Mid/Low Socioeconomic Status",13191
2,"Semi-Urban, Mid/Low Socioeconomic Status",13193
4,"Mostly Rural, Mid Socioeconomic Status",13195
2,"Semi-Urban, Mid/Low Socioeconomic Status",13197
2,"Semi-Urban, Mid/Low Socioeconomic Status",13199
4,"Mostly Rural, Mid Socioeconomic Status",13201
2,"Semi-Urban, Mid/Low Socioeconomic Status",13205
4,"Mostly Rural, Mid Socioeconomic Status",13207
2,"Semi-Urban, Mid/Low Socioeconomic Status",13209
4,"Mostly Rural, Mid Socioeconomic Status",13211
4,"Mostly Rural, Mid Socioeconomic Status",13213
2,"Semi-Urban, Mid/Low Socioeconomic Status",13215
2,"Semi-Urban, Mid/Low Socioeconomic Status",13217
1,"Semi-Urban, High Socioeconomic Status",13219
4,"Mostly Rural, Mid Socioeconomic Status",13221
1,"Semi-Urban, High Socioeconomic Status",13223
2,"Semi-Urban, Mid/Low Socioeconomic Status",13225
4,"Mostly Rural, Mid Socioeconomic Status",13227
4,"Mostly Rural, Mid Socioeconomic Status",13229
4,"Mostly Rural, Mid Socioeconomic Status",13231
4,"Mostly Rural, Mid Socioeconomic Status",13233
2,"Semi-Urban, Mid/Low Socioeconomic Status",13235
4,"Mostly Rural, Mid Socioeconomic Status",13237
2,"Semi-Urban, Mid/Low Socioeconomic Status",13239
4,"Mostly Rural, Mid Socioeconomic Status",13241
2,"Semi-Urban, Mid/Low Socioeconomic Status",13243
2,"Semi-Urban, Mid/Low Socioeconomic Status",13245
2,"Semi-Urban, Mid/Low Socioeconomic Status",13247
4,"Mostly Rural, Mid Socioeconomic Status",13249
2,"Semi-Urban, Mid/Low Socioeconomic Status",13251
2,"Semi-Urban, Mid/Low Socioeconomic Status",13253
2,"Semi-Urban, Mid/Low Socioeconomic Status",13255
4,"Mostly Rural, Mid Socioeconomic Status",13257
5,"Rural, Mid/Low Socioeconomic Status",13259
2,"Semi-Urban, Mid/Low Socioeconomic Status",13261
2,"Semi-Urban, Mid/Low Socioeconomic Status",13263
2,"Semi-Urban, Mid/Low Socioeconomic Status",13265
5,"Rural, Mid/Low Socioeconomic Status",13267
2,"Semi-Urban, Mid/Low Socioeconomic Status",13269
5,"Rural, Mid/Low Socioeconomic Status",13271
2,"Semi-Urban, Mid/Low Socioeconomic Status",13273
2,"Semi-Urban, Mid/Low Socioeconomic Status",13275
2,"Semi-Urban, Mid/Low Socioeconomic Status",13277
2,"Semi-Urban, Mid/Low Socioeconomic Status",13279
4,"Mostly Rural, Mid Socioeconomic Status",13281
2,"Semi-Urban, Mid/Low Socioeconomic Status",13283
2,"Semi-Urban, Mid/Low Socioeconomic Status",13285
2,"Semi-Urban, Mid/Low Socioeconomic Status",13287
2,"Semi-Urban, Mid/Low Socioeconomic Status",13289
4,"Mostly Rural, Mid Socioeconomic Status",13291
2,"Semi-Urban, Mid/Low Socioeconomic Status",13293
4,"Mostly Rural, Mid Socioeconomic Status",13295
4,"Mostly Rural, Mid Socioeconomic Status",13297
2,"Semi-Urban, Mid/Low Socioeconomic Status",13299
2,"Semi-Urban, Mid/Low Socioeconomic Status",13301
2,"Semi-Urban, Mid/Low Socioeconomic Status",13303
